"Concavity","Dimensionality","SNR","IP (mm)","ST (mm)","Step (pixels)","Fitting order","Curvature, true (m-1)","Curvature, est. (m-1)","Curvature, std.","Length, true (mm)","Length, est. (mm)","Length, std.","Pennation, true (deg)","Pennation, est. (deg)","Pennation, std.","Nq","N0"
-1,2,24,1.31,7.9,0.25,2,13.475,15.0156010834311,6.78009319032004,55.7582664489746,33.3846471031243,14.9138739043595,25.2824398538341,18.2835004750349,6.02120289648879,3922,6048
1,3,24,1.31,7.9,0.25,2,1.997,11.0233599360367,9.70856511021329,76.60595703125,34.0024642832411,18.2256874896628,24.7196427220884,23.6987762451172,4.31550298489564,2471,4032
1,3,24,1.31,7.9,0.25,2,5.925,12.6297967222963,8.60233355262321,72.5121078491211,33.142424587215,18.7278125133434,29.2852876082711,29.694351345218,4.59548719617858,2523,4032
1,3,24,1.31,7.9,0.25,2,9.74,14.2193047303274,8.25490480220562,63.8739166259766,31.9540797023564,16.3128534870663,35.2290228138799,35.3196555013567,4.3220426048861,2552,4032
1,3,24,1.31,7.9,0.25,2,13.475,16.7743054162392,8.00922091705587,55.4384918212891,30.4109855184048,15.5447777312477,41.4895676322605,40.9932445090993,4.18590909678436,2218,4032
-1,3,24,1.31,7.9,0.25,2,1.997,10.7809861554344,8.57575179537275,76.5282516479492,33.146905108413,17.9655145826952,21.7836932306704,19.7642890094331,4.30541487795402,2679,4032
-1,3,24,1.31,7.9,0.25,2,5.925,12.2506773504891,8.45787080374106,72.4326095581055,33.1110659548399,18.1863461798051,21.0217415353526,16.8104851412912,4.47225340413586,2398,4032
-1,3,24,1.31,7.9,0.25,2,9.74,13.4599838006283,7.80913414178786,64.0096893310547,32.2400007102407,16.3367462483803,23.21209849482,18.1069019160219,5.11574213446668,2687,4032
-1,3,24,1.31,7.9,0.25,2,13.475,15.383536090171,7.81058699545254,55.7356758117676,32.250511256589,15.2265003090028,27.037352271702,21.4311208672682,5.32820312903491,2462,4032
1,2,39,1,6,0.25,2,1.997,3.08429074970692,3.40333740013841,76.2247161865234,67.2470501592261,18.5382072661692,25.4373944600423,25.0480980066994,1.85758233360406,11517,12096
